word,part_of_speech,chinese,occurs,shots
deposit,0,存放;,0,0
depress,0,使沮丧;使消沉;,1,0
deprive,0,剥夺;使丧失;,0,0
derive,0,取得;得到;,0,0
descend,0,下来;下降;,0,0
deserve,0,应得;值得;,0,0
designate,0,指明;表明;,0,0
desolate,0,荒芜的;不毛的;,0,0
despise,0,蔑视;鄙视;,0,0
detach,0,拆卸;,0,0
detain,0,留住;担搁;,0,0
detect,0,（当场）发现（某人在干坏事）;,0,0
deteriorate,0,（使）恶化;(使)变坏;(使)退化;,0,0
deviate,0,背离;偏离;,0,0
devote,0,将...献给（to）;,1,0
diagnose,0,诊断;判断;,0,0
dictate,0,口授;使听写;,0,0
differentiate,0,使不同;使有差别;区分;区别;,0,0
diffuse,0,扩散（气体;液体等）;,0,0
diminish,0,减少;降低;,0,0
diplomat,0,外交家;外交官;圆滑的人;,0,0
discard,0,丢弃;抛弃;,0,0
discern,0,看出;觉察出;,0,0
disclose,0,揭露;透露;使公开;,0,0
discharge,0,释放;,0,0
discount,0,把（价格;费用等）打折扣;削价出售;,0,0
discriminate,0,区别;辨别;,1,0
disgrace,0,丢脸;耻辱;,0,0
disgust,0,厌恶;恶心;,0,0
disperse,0,分散;驱散;散去;,0,0
displace,0,移动。。。的位置;,0,0
dispose,0,布置;整理;,0,0
disregard,0,不理会;不顾;,0,0
distinct,0,有区别的;不同的;,0,0
distort,0,扭歪;扭曲,0,0
distract,0,使转向;,0,0
distribute,0,分配;分发;,0,0
divorce,0,离婚;分离;脱离;,0,0
dominate,0,分配;统治;,0,0
donate,0,捐赠;赠送;,0,0
doom,0,命运;厄运;劫数;,0,0
doze,0,打瞌睡;打盹儿;,0,0
drain,0,慢慢排去;,0,0
dread,0,怕;畏惧;,0,0
drift,0,漂流;漂泊;,0,0
dubious,0,引起怀疑的;不确定的;,0,0
due,0,欠款的;应支付的;,0,0
dump,0,倾倒;倾卸;,0,0
duplicate,0,完全一样的;复制的;,0,0
durable,0,耐用的;,0,0
dwell,0,（dwelt,0,0
economical,0,节约的;节俭的;经济的;,0,0
edge,0,边;棱;,0,0
edible,0,可以吃的;可食用的;,0,0
elaborate,0,精心计划(或制作)的;详尽的;,0,0
elevate,0,举起;提高;抬起;,1,0
eliminate,0,排除;消除;,0,0
elite,0,出类拔萃的人(或物);精华;,0,0
eloquent,0,雄辩的;口才流利的;有说服力的;,0,0
embark,0,上船(或飞机;汽车等);,0,0
embody,0,使具体化;表现;,0,0
embrace,0,拥抱;,1,1
emigrate,0,移居外国(或外地区);,0,0
emit,0,发出;散发(光;热;电度;声音;液体;气味等);发射电子;,0,0
enclose,0,(从四面八方)围住;包围;,0,0
encounter,0,意外的遇见;遭遇;,0,0
endeavor,0,(为达到某一目的而)努力;尝试;,0,0
energy,0,活力;精力;,0,0
enforce,0,实施;使生效;,0,0
engage,0,(用契约诺言等)约束;使订婚;,0,0
enhance,0,提高(价格;质量;吸引力等);增加;增强;,0,0
enlighten,0,启发;使摆脱偏见(或迷信,0,0
enroll,0,吸收(成员);招生;,0,0
ensure,0,保证;担保;,0,0
entertain,0,给。。。娱乐;使有兴趣;,0,0
entitle,0,给。。。权利;给。。。资格(to);,0,0
equivalent,0,相等的;相同的;,0,0
erase,0,擦掉;抹掉;消除;,0,0
erect,0,竖直的;垂直的;竖起的;,0,0
erupt,0,(火山;喷泉等)喷发;,0,0
essence,0,本质;实质;要素;,0,0
eternal,0,永恒的;永存的;永久的;,0,0
evaluate,0,估价;评价;,0,0
evaporate,0,(使)蒸发;(使)挥发;,0,0
exaggerate,0,夸张;夸大;对…言过其实;,0,0
exceed,0,超出;胜过;,0,0
excess,0,超越;超过;,0,0
execute,0,实行;实施;执行;履行;,0,0
exemplify,0,例示;举例证明;是…的例证(或榜样等);,0,0
exert,0,用力;尽力;,0,0
exhaust,0,汲空;抽完;,0,0
expand,0,扩大;扩展;膨胀;,0,0
expel,0,驱逐;赶走;,0,0
expend,0,花费;消费(on;,0,0
expire,0,满期;届期;(期限)终止;,0,0
explicit,0,详尽的;明确的;,0,0
exploit,0,英勇的或冒险的行为或事迹;,1,0
exterior,0,外部的;外面的;外表的;,0,0
external,0,外面的;外部的;,0,0
extinct,0,(火等)熄灭了的;,0,0
extinguish,0,熄灭;扑灭;,0,0
extract,0,取出;提取;,0,0
extravagant,0,奢侈的;浪费的;,0,0
fabricate,0,建造;制造;,0,0
facilitate,0,使变得(更)容易;使便利;,0,0
fade,0,(颜色)褪去;,0,0
faint,0,不清楚的;模糊的;微弱的;,0,0
fancy,0,想象力;,0,0
fare,0,车费;船费;飞机票价;,1,0
fascinate,0,强烈的吸引;迷住;使神魂颠倒;,0,0
fashion,0,方式;样子;,0,0
favor,0,恩惠;善意的行为;,0,0
feasible,0,可行的;,1,0
feeble,0,虚弱的;无力的;,0,0
feed,0,喂养;饲养;,0,0
figure,0,数字;,0,0
finance,0,财政;金融;,0,0
finite,0,有限的;有限制的;,0,0
flare,0,(火焰)闪耀;(摇曳不定地)燃烧;,0,0
flash,0,闪光;闪烁;,0,0
flat,0,平坦的;扁平的;,0,0
flatter,0,奉承;使高兴;,0,0
flavor,0,味;味道;风味;,0,0
flee,0,逃走;逃掉;,0,0
flexible,0,柔韧易;弯曲的;,0,0
fling,0,(用力)扔;掷;抛;丢;,0,0
flourish,0,茂盛;繁荣;兴旺,0,0
fluctuate,0,波动;起伏;,0,0
flush,0,脸红;,0,0
forbid,0,不许;禁止;,0,0
forge,0,锻炼;,0,0
formulate,0,规划(制度等);构想出(计划方法等,0,0
fracture,0,裂缝;裂痕;,0,0
frequent,0,时常发生的;频繁的;,0,0
frown,0,皱眉;,0,0
frustrate,0,挫败;阻挠;使灰心;使无效;,1,1
fulfill,0,(fulfilled;,0,0
furnish,0,供应;提供;,0,0
fury,0,狂怒;暴怒;,0,0
fuss,0,大惊小怪;乱忙;小题大做;,0,0
gallop,0,(马等的)飞跑;疾驰;,0,0
gamble,0,赌博;,0,0
gasp,0,喘气;喘息;,0,0
gear,0,齿轮;传动装置;(排)档;,0,0
generalize,0,归纳;概括;,0,0
generate,0,产生;发生(电、热、光、力、摩擦力等);,0,0
genuine,0,真的;非人造的;名副其实的;,0,0
gesture,0,手势;示意动作;,0,0
glance,0,一瞥;扫视;,0,0
glare,0,怒视;瞪眼;,0,0
glimpse,0,一瞥;一看;,0,0
glitter,0,闪闪发亮(或发光);光彩夺目;闪耀;,0,0
glory,0,光荣;荣誉;,0,0
glow,0,发热;发光;发红;,1,1
gossip,0,流言蜚语;,0,0
govern,0,统治;管理;,0,0
grace,0,优美;,0,0
graduate,0,(使)大学毕业;,0,0
grant,0,同意;准予;,0,0
grease,0,油脂;动物脂;,0,0
greet,0,问候;招呼;,0,0
grieve,0,使悲伤;使伤心;,0,0
grind,0,(ground)磨;磨碎;碾碎;,0,0
grip,0,抓紧;紧握;,0,0
gross,0,总的;毛的;,0,0
guarantee,0,保证;保证书;保单;,0,0
hail,0,欢呼;喝彩;,0,0
halt,0,(行进中的)暂停前进;中止;终止;,0,0
hamper,0,妨碍;阻碍;,0,0
handicap,0,障碍;不利条件;,0,0
haste,0,急速;急忙;仓促;草率;,0,0
hatch,0,孵;孵出;,0,0
hazard,0,危险;危害物;危险之源;,0,0
heal,0,治愈;愈合;,0,0
heap,0,(一)堆;,0,0
hedge,0,(矮树)树篱;,0,0
highlight,0,使显著;使突出;,0,0
hinder,0,妨碍;阻止;,0,0
hint,0,暗示;,0,0
hoist,0,举起;升起;吊起;,0,0
hold,0,拿着;抓住;,0,0
homogeneous,0,同种类的;同性质的;有相同特征的;,0,0
horizon,0,地平(线);,0,0
hospital,0,好客的;殷勤的;热情友好的;,0,0
hostile,0,敌人的;敌方的;,0,0
humble,0,地位(或身份)低下的;卑贱的;,0,0
hysterical,0,情绪异常激动的;歇斯底里的,0,0
identical,0,同一的;,0,0
identify,0,识别;鉴别;,0,0
idle,0,闲散的;闲置的;,0,0
ignite,0,点燃;使燃烧;,0,0
ignore,0,不顾;不理;忽视;,0,0
illuminate,0,照明;照亮;解释;启发;启迪;,0,0
illustrate,0,(用图或例子)说明;阐明;,0,0
immerse,0,使浸没;,0,0
immune,0,免除的;豁免的;,0,0
impact,0,冲击;撞击;,1,0
impair,0,削弱;减少;,1,0
impartial,0,公正的;无偏见的;,0,0
implement,0,工具;器具;用具;,0,0
impose,0,征(税);加(负担;惩罚等)于(on;,0,0
impulse,0,推动;驱动;,0,0
inaccessible,0,达不到的;,0,0
incline,0,倾斜;,0,0
incorporate,0,包含;吸收;,0,0
incur,0,招致;引起;遭受;,0,0
indignant,0,愤怒的;愤慨的;,0,0
indispensable,0,必不可少的;必需的(to.,0,0
induce,0,引诱;劝使;,0,0
infer,0,(根据已知事实等)推断;推定(from);,0,0
ingenious,0,(人;头脑等)灵巧的;足智多谋的;,0,0
initiate,0,开始;发起;,1,0
innovate,0,革新;改革;创新(in;on/upon);,0,0
inquire,0,询问;打听;,0,0
insert,0,插入;嵌入;,0,0
inspire,0,鼓舞;激起;,0,0
instant,0,紧急的;急迫的;立即的;即刻的;,0,0
institute,0,学会;协会;学院;研究院;,0,0
insulate,0,隔音;使隔绝(以免受到影响);,0,0
insult,0,侮辱;辱骂;,0,0
insure,0,保险;给。。。保险;,0,0
intact,0,完整无缺的;未经触动的;未受损伤的;,0,0
integrate,0,使成一体;使合并(with;,0,0
interfere,0,妨碍;冲突(with);,0,0
intermittent,0,间歇的;断断续续的;周期性的;,0,0
intervene,0,插入;介入;,0,0
intricate,0,错综复杂的;复杂精细的;,0,0
invert,0,使反向;使倒转;使颠倒;,0,0
irrespective,0,不考虑的;不顾的(of),0,0
irritate,0,激怒;使恼怒;使烦躁;,0,0
justify,0,证明。。。正当或有理;正确;,0,0
knit,0,编织;编结;,0,0
label,0,标签;标记;标号;,0,0
lag,0,走得慢;落后;滞留;,0,0
latent,0,潜在的;隐伏的;不易觉察的;,0,0
leak,0,漏洞;裂缝;,1,0
lean,0,斜;倾斜,0,0
lend,0,借给;贷款,0,0
length,0,长;长度,1,1
liable,0,会……的;有……倾向的,0,0
liberal,0,慷慨的;大方的,0,0
light,0,光;光亮;光线,0,0
limp,0,软的;松沓的,1,0
linger,0,逗留;徘徊,0,0
long,0,长的;远的;久的,0,0
lubricate,0,使润滑,0,0
lump,0,块;小方块,1,0
macroscopic,0,肉眼可见的,0,0
magnet,0,磁铁;磁铁石,0,0
magnify,0,放大;扩大,1,0
maintain,0,维持;保持,0,0
malfunction,0,发生功能障碍;发生障碍,0,0
maltreat,0,粗暴地对待;虐待,0,0
manifest,0,显然的;明了的,0,0
manipulate,0,(熟练地)操作,0,0
mature,0,熟的;成熟的,0,0
meet,0,遇见;碰到,0,0
melt,0,使融化;使熔化,0,0
mend,0,修理;修补,0,0
merit,0,长处;优点;价值;功绩,0,0
migrate,0,移居(尤指移居国外);迁移,0,0
minimum,0,最低限度;最少量;最低点,1,0
minor,0,较小的;较少的;较不重要的,0,0
mislead,0,把……引错方向;把……引入歧途,0,0
moan,0,呻吟声;呜咽声,0,0
mobilize,0,动员,0,0
mock,0,嘲笑;嘲弄,0,0
model,0,模型;原形,0,0
modify,0,修改;更改,0,0
momentary,0,片刻的;瞬息的,0,0
monitor,0,（学校的）班长,0,0
mortgage,0,抵押（借款）,0,0
motion,0,动;运动,0,0
motive,0,动机;目的,2,0
mount,0,登上;,0,0
multiply,0,乘;相乘,0,0
muscle,0,肌肉,0,0
mutual,0,相互的;,1,1
narrate,0,叙述;讲述,0,0
nasty,0,龌龊的;肮脏的,0,0
necessitate,0,使成为必须;需要,0,0
necessity,0,必要（性）;（迫切）需要,0,0
neglect,0,忽视;忽略,0,0
negligent,0,疏忽的;大意的,0,0
nominal,0,名义的;有名无实的,0,0
nominate,0,提名,0,0
noteworthy,0,值得注意的;显著的,0,0
notorious,0,臭名昭著的,0,0
notwithstanding,0,虽然;尽管,0,0
nourish,0,养育,0,0
numb,0,麻木的;失去感觉的,0,0
object,0,物体;事物,0,0
objective,0,目的;宗旨,0,0
oblige,0,强迫;迫使,0,0
obscure,0,晦涩的;费解的,0,0
obsolete,0,废弃的;淘汰的,0,0
obstinate,0,顽固的;固执的;倔强的,0,0
occasion,0,时刻;场合,1,0
occupy,0,占用;占有,0,0
occur,0,发生;存在;出现,0,0
odd,0,的奇数的;单的;奇怪的,1,0
offend,0,冒犯;使生气,0,0
offence,0,犯法行为;过错,0,0
offset,0,补偿;抵消,0,0
omit,0,省略;删去,0,0
opaque,0,不透明的,0,0
optimistic,0,乐观的;乐观主义的,0,0
option,0,选择权,0,0
orient,0,东方;东方国家,0,0
origin,0,起源;由来,0,0
ornament,0,装饰品;点缀品,0,0
orthodox,0,正统的;正宗的,0,0
outline,0,轮廓;外形,1,0
overflow,0,泛滥,0,0
overhaul,0,大修;全面检查;彻底革新,0,0
overhear,0,偶然听到;偷听到,0,0
overlap,0,重叠;部分相同,0,0
overtake,0,赶上;超过,0,0
overthrow,0,推翻;打倒,1,1
overwhelm,0,征服;压倒;毁坏,0,0
pace,0,步;步速;步伐,0,0
pack,0,包;包裹,0,0
pad,0,垫;衬垫,0,0
pant,0,气喘;气喘吁吁地说话,0,0
parallel,0,平行的,1,0
paralyze,0,使瘫痪;使麻痹,0,0
partial,0,偏向一方的;偏袒的;偏爱的,0,0
participate,0,参与;参加;,0,0
particular,0,特殊的;特别的,0,0
pat,0,(用掌或扁平物)轻拍;轻打,0,0
patch,0,补钉;补片,0,0
patent,0,专利;专利权;专利品,0,0
pattern,0,模范;榜样,0,0
pave,0,铺路;铺砌;铺筑,0,0
peculiar,0,奇怪的;古怪的,0,0
peel,0,削皮;剥皮,0,0
penetrate,0,穿透;渗入,0,0
perceive,0,感知;感觉;觉察,0,0
perfect,0,完美的;理想的,0,0
perform,0,做;执行;完成,0,0
perfume,0,香水;香料;香气,0,0
periodical,0,期刊;杂志,0,0
perish,0,卒;丧生,0,0
perpetual,0,永久的;永恒的;长期的,0,0
perplex,0,使困惑;使茫然,0,0
persecute,0,虐待;残害;迫害,0,0
perspective,0,透视画法;透视图,0,0
pessimistic,0,悲观的,0,0
petition,0,请愿;请愿书,0,0
pierce,0,刺入;刺穿;穿透,0,0
pile,0,一堆;一叠,0,0
pilot,0,飞行员;驾驶员,0,0
pin,0,大头针;别针,0,0
pinch,0,捏;拧;夹,0,0
plausible,0,论点等貌似有理的,0,0
plead,0,恳求;请求,0,0
pledge,0,保证;誓言;誓约,0,0
plot,0,小块土地,0,0
plug,0,塞子;栓,0,0
plunge,0,猛地投入或插入,0,0
pocket,0,衣袋;口袋;袋子,0,0
polish,0,擦光;擦亮,0,0
poll,0,民意测验,0,0
pool,0,水池;游泳池,0,0
portable,0,便于携带的;手提式的;轻便的,0,0
pose,0,姿势;样子,1,1
postpone,0,延迟;延缓;延期,0,0
potential,0,潜在的;可能的,0,0
pour,0,倒;注;灌;倾泻;涌流,0,0
preach,0,讲道;布道,0,0
preside,0,主持;主管,0,0
press,0,按;挤;压,0,0
presume,0,推测;假定;假设,0,0
prevail,0,流行;盛行,0,0
prey,0,被捕食的动物;捕获物,0,0
prick,0,一刺;一扎,0,0
prime,0,首要的;主要的,0,0
primitive,0,原始的;上古的;早期的,0,0
prior,0,在先的;在前的,0,0
privilege,0,特权;优惠;特免,0,0
probe,0,探索;探查;调查,0,0
proceed,0,（尤指停顿或打断后）继续进行,0,0
process,0,过程;进程,0,0
proclaim,0,宣告;宣布;声明,1,1
produce,0,生产;制造,0,0
profit,0,利润;收益;红利,0,0
profound,0,很深的,0,0
prohibit,0,禁止,0,0
project,0,计划;方案,0,0
prolong,0,延长;拉长;拖延,0,0
prominent,0,突起的;凸出的,1,0
prompt,0,敏捷的;迅速的,0,0
pronounce,0,发音,1,1
propose,0,提议;建议,0,0
prosper,0,兴旺;繁荣;昌盛;成功,0,0
provoke,0,挑动;激起;导致,0,0
pump,0,泵,0,0
pursue,0,追赶;追随;追求,0,0
puzzle,0,难题;智力玩具;迷;迷惑,0,0
quality,0,质量;品级,0,0
quantity,0,数量;量,0,0
quench,0,消除;平息;压制;扑灭,0,0
queue,0,一队人;一行列车,0,0
quit,0,停止;放弃,1,1
quiver,0,颤抖;抖动,0,0
quote,0,引用;引述;援引,0,0
rack,0,架子;支架;搁架,0,0
radiate,0,（光;热等）辐射;发射,0,0
radical,0,根本的;基本的,0,0
rake,0,（长柄）耙;耙机;耙状物,0,0
rally,0,集合;团结,0,0
random,0,胡乱的;任意的;随意的;,0,0
range,0,排;行;一系列,0,0
rank,0,排;行;列,0,0
rate,0,比率;率,0,0
reap,0,收割;收获,0,0
rear,0,后部;后边;背部,0,0
recall,0,回忆;回想,0,0
reciprocal,0,相互的;交互的,0,0
reckon,0,计算;数,0,0
reclaim,0,使改过;改造,0,0
recognize,0,认出;识别,0,0
recollect,0,回忆;想起,0,0
recommend,0,推荐;称赞,0,0
reconcile,0,使和解;使和好,0,0
recover,0,追回;重新得到,0,0
recruit,0,招募（新兵）招收（新成员）,0,0
rectify,0,纠正;改正;矫正,0,0
refer,0,提到;谈到,1,0
refine,0,提炼,0,0
reform,0,改革;改良,0,0
refresh,0,使恢复活力;使振作精神,0,0
refute,0,驳斥;驳倒,0,0
regard,0,看待;认为;对待,1,0
regenerate,0,使恢复;使复兴;再生,0,0
regulate,0,管理;控制;为……制订规章,0,0
reign,0,为王;统治,0,0
reinforce,0,增援;加强,0,0
rejoice,0,使感到高兴;使充满喜悦,0,0
relate,0,讲述;叙述,0,0
